s2id,latitude,longitude,label,sublabel,iso3
8f75a3f9,11.04,-85.6933,Puerto Soley,,CRI
902be0cd,-0.919,-80.723,Manta,Ecuador,ECU
902be0cb,-0.9158,-80.7215,Manta,Ecuador,ECU
8fa444cd,8.6037,-83.1353,Golfito,Puntarenas,CRI
8f9e29a3,10.5534,-85.7052,Playa del Coco,Guanacaste,CRI
902be6d9,-0.9315,-80.7094,Manta,Ecuador,ECU
8f7ab953,13.2602,-87.7856,Chiquirin,,SLV
8f7ab94d,13.2594,-87.7862,Chiquirin,,SLV
8f75b44b,11.2494,-85.8847,San Juan del Sur,Nicarágua,NIC
8f9e29a1,10.5511,-85.7053,Playa del Coco,Guanacaste,CRI
902be12b,-0.9327,-80.7218,Manta,Ecuador,ECU
8fa44497,8.6211,-83.1508,Golfito,Puntarenas,CRI
8f75b44f,11.2529,-85.8812,San Juan del Sur,Nicarágua,NIC
902be735,-0.9151,-80.7177,Manta,Ecuador,ECU
8fa033af,9.9121,-84.7216,Caldera,Puntarenas,CRI
8fa44483,8.6353,-83.1649,Golfito,Puntarenas,CRI
8f9f0751,9.8663,-85.5127,Sámara,Guanacaste,CRI
8fa02e45,9.982,-84.803,Puntarenas,Puntarenas,CRI
8fa4437d,8.6357,-83.166,Golfito,Puntarenas,CRI
902be6d5,-0.9315,-80.7212,Manta,Ecuador,ECU
8f9f0757,9.8668,-85.5123,Sámara,Guanacaste,CRI
8e37241b,3.8751,-77.0912,Boaventura,Colombia,COL
902be6e1,-0.932,-80.698,Manta,Ecuador,ECU
8f7ab959,13.272,-87.7803,Chiquirin,,SLV
8e372411,3.8757,-77.0903,Boaventura,Colombia,COL
902be71f,-0.9307,-80.698,Manta,Ecuador,ECU
8f75b449,11.2492,-85.8842,San Juan del Sur,Nicarágua,NIC
8c32719f,10.4667,-64.1946,Cumana,Venezuela,VEN
8c32719d,10.4689,-64.1916,Cumana,Venezuela,VEN
8f75989f,10.9505,-85.7093,Cuajiniquil,Puntarenas,CRI
8f75a277,10.9511,-85.7107,Cuajiniquil,Puntarenas,CRI
8f75a275,10.952,-85.7097,Cuajiniquil,Puntarenas,CRI
8f75a407,11.0422,-85.6908,Puerto Soley,,CRI
8f75a405,11.0485,-85.6901,Puerto Soley,,CRI
8f75a401,11.0457,-85.6876,Puerto Soley,,CRI
8f75a403,11.0463,-85.6879,Puerto Soley,,CRI
8f75a6a9,11.0465,-85.6832,Puerto Soley,,CRI
8f75a6ad,11.0447,-85.678,Puerto Soley,,CRI
8f75a6ab,11.0452,-85.6829,Puerto Soley,,CRI
8f75a6af,11.0497,-85.6762,Puerto Soley,,CRI
8f9e2999,10.5547,-85.704,Playa del Coco,Guanacaste,CRI
8fa02e2f,9.9846,-84.7796,Puntarenas,Puntarenas,CRI
8fa02e29,9.9845,-84.7772,Puntarenas,Puntarenas,CRI
8fa02e5b,9.9817,-84.8085,Puntarenas,Puntarenas,CRI
8fa02e59,9.9827,-84.8147,Puntarenas,Puntarenas,CRI
8fa02ec5,9.9802,-84.8413,Puntarenas,Puntarenas,CRI
8fa02ec1,9.9768,-84.8376,Puntarenas,Puntarenas,CRI
8fa02ec7,9.9782,-84.846,Puntarenas,Puntarenas,CRI
8fa02ec3,9.9803,-84.8365,Puntarenas,Puntarenas,CRI
8fa02ec9,9.9787,-84.8478,Puntarenas,Puntarenas,CRI
8fa02eeb,9.9793,-84.8355,Puntarenas,Puntarenas,CRI
8fa02eef,9.9793,-84.8261,Puntarenas,Puntarenas,CRI
8fa02eed,9.9791,-84.826,Puntarenas,Puntarenas,CRI
8fa02ee9,9.9806,-84.8311,Puntarenas,Puntarenas,CRI
8fa02ef3,9.9791,-84.8231,Puntarenas,Puntarenas,CRI
8fa02ef7,9.983,-84.8153,Puntarenas,Puntarenas,CRI
8fa02ef1,9.9793,-84.8245,Puntarenas,Puntarenas,CRI
8fa033a5,9.9127,-84.7189,Caldera,Puntarenas,CRI
8fa033b5,9.9246,-84.7278,Caldera,Puntarenas,CRI
8fa033b1,9.9205,-84.7223,Caldera,Puntarenas,CRI
8fa033b7,9.9226,-84.7244,Caldera,Puntarenas,CRI
8fa033b9,9.9222,-84.721,Caldera,Puntarenas,CRI
8fa033bb,9.9204,-84.7208,Caldera,Puntarenas,CRI
8fa17397,9.4382,-84.168,Quepos,Puntarenas,CRI
8fa17395,9.4354,-84.1679,Quepos,Puntarenas,CRI
8fa173ed,9.4271,-84.1745,Quepos,Puntarenas,CRI
8fa4449b,8.6269,-83.1573,Golfito,Puntarenas,CRI
8fa44499,8.6233,-83.1577,Golfito,Puntarenas,CRI
8fa4449f,8.6242,-83.1599,Golfito,Puntarenas,CRI
8fa4449d,8.6275,-83.1622,Golfito,Puntarenas,CRI
8fa444bd,8.6204,-83.1493,Golfito,Puntarenas,CRI
902be723,-0.9263,-80.7034,Manta,Ecuador,ECU
902be721,-0.9285,-80.7029,Manta,Ecuador,ECU
902be727,-0.9298,-80.7072,Manta,Ecuador,ECU
902be725,-0.9267,-80.706,Manta,Ecuador,ECU
902be72b,-0.9308,-80.7204,Manta,Ecuador,ECU
902be72f,-0.9264,-80.7113,Manta,Ecuador,ECU
902be729,-0.9293,-80.7107,Manta,Ecuador,ECU
