s2id,longitude,latitude,label,sublabel,iso3,source
91502d25,-70.27952426587728,-19.214191157089775,CALETA CAMARONES,CAMARONES,CHL,buffer
96157631,-73.22050646171755,-39.394493372827526,QUEULE,TOLTÉN,CHL,buffer
96221205,-73.66245073197356,-42.375775951703005,DALCAHUE,DALCAHUE,CHL,buffer
963d0cd3,-73.84484689193441,-40.885854670758,MANQUEMAPU,PURRANQUE,CHL,buffer
963d9ffd,-73.83308442445453,-40.7707450017566,CONDOR,RÍO NEGRO,CHL,buffer
963da003,-73.84484689193441,-40.76749427392228,CONDOR,RÍO NEGRO,CHL,buffer
9662117b,-71.67623448391132,-33.355275073348665,ALGARROBO,ALGARROBO,CHL,buffer
9666a591,-72.0794062779121,-34.75710814448277,LLICO,VICHUQUÉN,CHL,buffer
966844a7,-72.91357344824794,-36.48215014400111,BURCA,COELEMU,CHL,buffer
9669cbeb,-73.16151272726542,-36.83282334752777,BOCA SUR             ,SAN PEDRO DE LA PAZ,CHL,buffer
9689a46b,-71.45665180323586,-32.511272134186335,PAPUDO,PAPUDO,CHL,buffer
bc4eab87,-67.6048896733691,-54.92507555789267,TERMINAL PESQUERO PUERTO WILLIAMS,CABO DE HORNOS,CHL,buffer
bdad9001,-71.52218601113994,-53.16294939805136,MUELLE CRUCE CANAL FITZ ROY,RÍO VERDE,CHL,buffer
915aa997,-70.31523746624757,-18.473934844011477,CALETA ARICA,ARICA,CHL,provided_points
96157621,-73.20870895308364,-39.40282660318476,QUEULE,TOLTÉN,CHL,buffer
9615763f,-73.20870895308364,-39.387708151788694,LOS PINOS ,TOLTÉN,CHL,buffer
9615766b,-73.20280996593503,-39.38179474248258,LOS PINOS ,TOLTÉN,CHL,buffer
9622085b,-73.50345656944275,-42.40992898936221,PALQUI,CURACO DE VÉLEZ,CHL,buffer
963d3e3f,-73.90952788294041,-41.11638877454271,PUNTA CAPITANES,FRESIA,CHL,buffer
966159c7,-72.01422304325267,-34.37219876017215,PICHILEMU,PICHILEMU,CHL,buffer
966159e7,-72.02607559999015,-34.38472814290582,PICHILEMU,PICHILEMU,CHL,buffer
96621163,-71.67030168188423,-33.35979231700413,ALGARROBO,ALGARROBO,CHL,buffer
966213d7,-71.6643687740171,-33.353469733357606,ALGARROBO,ALGARROBO,CHL,buffer
966a7f75,-73.44453920516703,-38.09301462415852,ANTIQUINA,CAÑETE,CHL,buffer
966a7f9d,-73.4504316767123,-38.099009247686354,ANTIQUINA,CAÑETE,CHL,buffer
9689c31f,-71.52194772965966,-32.90820359647339,SAN PEDRO-CONCÓN,CONCÓN,CHL,buffer
96221d5d,-73.67422320415318,-42.60704446234042,PUQUELDÓN,PUQUELDÓN,CHL,buffer
963d0d2b,-73.84484689193441,-40.8957070988044,MANQUEMAPU,PURRANQUE,CHL,buffer
963da005,-73.85072786268732,-40.76833662915503,CONDOR,RÍO NEGRO,CHL,buffer
966156a3,-72.02607559999015,-34.47057752597679,CÁHUIL,PICHILEMU,CHL,buffer
9689a43d,-71.45071521232215,-32.49944868209249,PAPUDO,PAPUDO,CHL,buffer
91500743,-70.31523746624757,-18.519335510084034,CALETA QUIANE,ARICA,CHL,buffer
9619ea9d,-72.32815309028528,-41.45916067716719,ROLLIZO,PUERTO VARAS,CHL,buffer
963d7553,-73.83896574579468,-40.7814597989364,CONDOR,RÍO NEGRO,CHL,buffer
9641de8b,-73.53879910176973,-37.86433621175411,PANGUE,LOS ÁLAMOS,CHL,buffer
9661622d,-71.99644333187287,-34.122222430217214,TOPOCALMA,LITUECHE,CHL,buffer
96620941,-71.68809976968194,-33.199770641354604,QUINTAY,CASABLANCA,CHL,buffer
96620943,-71.68216717990752,-33.19887090878589,QUINTAY,CASABLANCA,CHL,buffer
96668e29,-72.19788418475655,-35.10593405207061,LA TRINCHERA,CUREPTO,CHL,buffer
9666902d,-72.18603857936142,-35.09348849950551,LA TRINCHERA,CUREPTO,CHL,buffer
966691cd,-72.19196144336388,-35.08905536455693,LA TRINCHERA,CUREPTO,CHL,buffer
966a7f71,-73.4504316767123,-38.08872027175782,ANTIQUINA,CAÑETE,CHL,buffer
bd96dc39,-73.55163269306122,-47.79973683192649,MUELLE TORTEL,TORTEL,CHL,buffer
bd96dc55,-73.5198429115653,-47.805199904196975,MUELLE TORTEL,TORTEL,CHL,buffer
9619ea79,-72.32815309028528,-41.43974812635665,ROLLIZO,PUERTO VARAS,CHL,buffer
96220857,-73.50934740395657,-42.40601016634776,PALQUI,CURACO DE VÉLEZ,CHL,buffer
96221d39,-73.66833705295679,-42.59186768915958,PUQUELDÓN,PUQUELDÓN,CHL,buffer
963d12a9,-73.85072786268732,-40.93594303485317,SAN PEDRO,PURRANQUE,CHL,buffer
963d3e39,-73.90364867630505,-41.115548450597814,PUNTA CAPITANES,FRESIA,CHL,buffer
963d3e3b,-73.90364867630505,-41.11064040314834,PUNTA CAPITANES,FRESIA,CHL,buffer
9661622f,-71.99051652850186,-34.12132780350176,TOPOCALMA,LITUECHE,CHL,buffer
9662117d,-71.67030168188423,-33.35437256183325,ALGARROBO,ALGARROBO,CHL,buffer
96664c11,-72.62990030706939,-35.57992484589843,LOANCO,CHANCO,CHL,buffer
96685d23,-72.8781322394948,-36.4244141050128,PERALES,COELEMU,CHL,buffer
966a7f81,-73.46221613103674,-38.10070896759032,ANTIQUINA,CAÑETE,CHL,buffer
9689c325,-71.5160122378539,-32.91817979155928,SAN PEDRO-CONCÓN,CONCÓN,CHL,provided_points
9689dd3d,-71.53975359792022,-32.95443592740489,MONTEMAR,VINA DEL MAR,CHL,buffer
9691b593,-71.26069319438996,-29.882102320142405,"SAN PEDRO, LA SERENA",LA SERENA,CHL,buffer
bdb2ee95,-70.34671799840213,-53.39341545729769,SANTA MARÍA,PORVENIR,CHL,buffer
bdb2eec3,-70.32736141551622,-53.395721306630534,SANTA MARÍA,PORVENIR,CHL,buffer
96221d73,-73.69188063715238,-42.60007529022546,PUQUELDÓN,PUQUELDÓN,CHL,buffer
963d4aa7,-73.83896574579468,-41.39021066767623,ESTAQUILLA,LOS MUERMOS,CHL,buffer
9662095d,-71.67623448391132,-33.19797086015646,QUINTAY,CASABLANCA,CHL,buffer
96621137,-71.69403225304367,-33.385077967179974,EL QUISCO,EL QUISCO,CHL,buffer
9666ac75,-72.04977930457126,-34.62956273820943,BUCALEMU,PAREDONES,CHL,buffer
9689a445,-71.4447785226362,-32.514926292819446,PAPUDO,PAPUDO,CHL,buffer
