s2id,longitude,latitude,label,sublabel,iso3,source
8fa57655,-82.43464977719417,8.370651146492396,Puerto Pedregal,Chiriquí,PAN,provided_points
8facaf45,-79.54629428274575,8.939141490491563,Chorrillo,Panamá,PAN,buffer
8fadbdd3,-80.35751283451334,8.06086671474944,Boca Parita,Herrera,PAN,buffer
8fb24277,-80.33523640630077,7.331055689384251,Búcaro,Los Santos,PAN,buffer
8fafbcc7,-81.80330573688792,8.211580078844507,Puerto Remedios,Chiriquí,PAN,buffer
8fafbcdd,-81.8142380364605,8.206382358952029,Puerto Remedios,Chiriquí,PAN,buffer
8fad8159,-80.17355647291416,7.755403647414538,Búcaro,Los Santos,PAN,buffer
8fae1131,-81.06718628226862,7.920530369008081,Puerto Mutis,Veraguas,PAN,buffer
8fa50313,-82.8452145790513,8.274931647538988,Puerto Armuelles,Chiriquí,PAN,buffer
8facbd35,-79.71474682239443,8.867665722167688,Puerto Caimito,Panamá Oeste,PAN,buffer
8fad9625,-80.33523640630077,8.011843205290157,Boca Parita,Herrera,PAN,buffer
8fadbdd9,-80.36308101863455,8.050217112784063,Boca Parita,Herrera,PAN,buffer
8fadbdf9,-80.35751283451334,8.023141242670269,Boca Parita,Herrera,PAN,buffer
8fae1149,-81.06718628226862,7.931310043312736,Puerto Mutis,Veraguas,PAN,buffer
8faca8ad,-79.55191442245089,8.955632702415292,Chorrillo,Panamá,PAN,buffer
8fad9603,-80.35751283451334,8.017753517960653,Boca Parita,Herrera,PAN,buffer
8fadbd8d,-80.34080606681118,8.028136483126444,Boca Parita,Herrera,PAN,buffer
8facaf5b,-79.55191442245089,8.939300615519274,Chorrillo,Panamá,PAN,buffer
8fadc9a9,-80.49660624881408,8.247716885914471,Puerto Aguadulce,Coclé,PAN,buffer
8fae113b,-81.06166621384345,7.92041191037399,Puerto Mutis,Veraguas,PAN,buffer
8fb269e7,-80.34637535845074,7.341964703763807,Búcaro,Los Santos,PAN,buffer
8e54a3d7,-79.07297931434694,9.115905234263897,Puerto Coquira,Panamá,PAN,buffer
8faca8d3,-79.52381025543345,8.954834723590002,Puerto Panamá,Panamá,PAN,provided_points
8faca929,-79.51256616287992,8.959959006594904,Puerto Panamá,Panamá,PAN,buffer
8fad83e7,-80.16797581669991,7.766004939088463,Búcaro,Los Santos,PAN,buffer
8fadc9ab,-80.49660624881408,8.242310446451391,Puerto Aguadulce,Coclé,PAN,provided_points
8faca335,-79.67546938634801,8.872018391960925,Puerto Vacamonte,Panamá Oeste,PAN,buffer
