s2id,longitude,latitude,label,sublabel,iso3
92a6610d,-48.03323975719342,-0.7142405916049607,São Caetano de Odivelas,Pará,BRA
92a66111,-48.02828287149566,-0.710633034446296,São Caetano de Odivelas,Pará,BRA
92a66113,-48.02828287149566,-0.7141850219852744,São Caetano de Odivelas,Pará,BRA
92a66115,-48.02332644260037,-0.7141294521411251,São Caetano de Odivelas,Pará,BRA
92a66117,-48.02332644260037,-0.7105777409210343,São Caetano de Odivelas,Pará,BRA
92a66139,-48.01341495538106,-0.7140183117888477,São Caetano de Odivelas,Pará,BRA
92a6613b,-48.01341495538106,-0.7104671532098731,São Caetano de Odivelas,Pará,BRA
92a6613d,-48.01837047054852,-0.7105224471747795,São Caetano de Odivelas,Pará,BRA
92a6613f,-48.01837047054851,-0.7140738820748654,São Caetano de Odivelas,Pará,BRA
92a66141,-48.01837047054852,-0.7176257345283658,São Caetano de Odivelas,Pará,BRA
92a66143,-48.01837047054852,-0.7211780045060278,São Caetano de Odivelas,Pará,BRA
92a66145,-48.01341495538106,-0.7211218814828929,São Caetano de Odivelas,Pará,BRA
92a66147,-48.01341495538106,-0.7175698878896027,São Caetano de Odivelas,Pará,BRA
92a6615b,-48.01341495538106,-0.7246742925394527,São Caetano de Odivelas,Pará,BRA
92a6615d,-48.01837047054852,-0.7247306919785802,São Caetano de Odivelas,Pará,BRA
92a6615f,-48.01837047054852,-0.728283796916731,São Caetano de Odivelas,Pará,BRA
92a66161,-48.02332644260037,-0.7283404725792789,São Caetano de Odivelas,Pará,BRA
92a66163,-48.02828287149566,-0.7283971480152425,São Caetano de Odivelas,Pará,BRA
92a66165,-48.02828287149566,-0.7248434901852137,São Caetano de Odivelas,Pará,BRA
92a66167,-48.02332644260037,-0.7247870911946294,São Caetano de Odivelas,Pará,BRA
92a66169,-48.02332644260037,-0.7212341273071919,São Caetano de Odivelas,Pará,BRA
92a6616b,-48.02332644260037,-0.7176815809462642,São Caetano de Odivelas,Pará,BRA
92a6616d,-48.02828287149567,-0.7177374271409345,São Caetano de Odivelas,Pará,BRA
92a6616f,-48.02828287149566,-0.7212902498840092,São Caetano de Odivelas,Pará,BRA
92a66171,-48.03323975719342,-0.7213463722341035,São Caetano de Odivelas,Pará,BRA
92a66173,-48.03323975719342,-0.7177932731100118,São Caetano de Odivelas,Pará,BRA
92a68831,-48.092758001182574,-0.7647294023049097,Vigia,Pará,BRA
92a68833,-48.092758001182574,-0.7611679730154923,Vigia,Pará,BRA
92a68835,-48.09772082156335,-0.7612271343045744,Vigia,Pará,BRA
92a68837,-48.09772082156334,-0.7647888403381765,Vigia,Pará,BRA
92a68839,-48.09772082156334,-0.7683509640184437,Vigia,Pará,BRA
92a68845,-48.10764783095567,-0.7684703928031209,Vigia,Pará,BRA
92a68847,-48.102684098168254,-0.7684106785505102,Vigia,Pará,BRA
92a68849,-48.102684098168254,-0.7648482780958247,Vigia,Pará,BRA
92a6884b,-48.102684098168254,-0.7612862953193368,Vigia,Pará,BRA
92a6884d,-48.10764783095568,-0.7613454560572646,Vigia,Pará,BRA
92a6884f,-48.10764783095567,-0.7649077155753283,Vigia,Pará,BRA
92a68851,-48.1126120198839,-0.7649671527741585,Vigia,Pará,BRA
92a68853,-48.11261201988389,-0.7614046165158413,Vigia,Pará,BRA
92a689ad,-48.1126120198839,-0.7578424980284213,Vigia,Pará,BRA
92a689b1,-48.10764783095568,-0.7542221902688256,Vigia,Pará,BRA
92a689b3,-48.10764783095567,-0.7577836142785603,Vigia,Pará,BRA
92a689b5,-48.10268409816826,-0.7577247302506697,Vigia,Pará,BRA
92a689b7,-48.102684098168254,-0.754163582919427,Vigia,Pará,BRA
92a689b9,-48.102684098168254,-0.7506028533551925,Vigia,Pará,BRA
92a689c9,-48.09772082156334,-0.7541049752958128,Vigia,Pará,BRA
