s2id,longitude,latitude,label,sublabel,iso3,source
9033f85d,-80.66875798928643,-3.6715642484226407,Zorritos,Tumbes,PER,buffer
903645a9,-81.30417998891726,-4.553578301413043,TALARA,Piura,PER,buffer
903645ef,-81.3261890086384,-4.579370348269447,TALARA,Piura,PER,buffer
9036a321,-80.96776578411931,-3.976362723476712,Punta Sal,Tumbes,PER,buffer
9036f2c1,-81.18301780202653,-4.206293013068497,Ñuro,Piura,PER,buffer
90497035,-81.0285376574623,-5.80879262740961,Bajovar,Piura,PER,buffer
90497c4b,-80.85715205021155,-5.764353247392565,Parachique,Piura,PER,buffer
9049dd87,-81.16648097664103,-5.116018755002145,Yacila,Piura,PER,buffer
9049e6ab,-81.07822525412026,-5.083882187547444,Paita,Piura,PER,buffer
910432c9,-77.20314933121875,-11.984442081912016,Callao,Callao,PER,provided_points
9105cccb,-77.1916497395416,-12.023074625428167,Callao,Callao,PER,provided_points
9105cdc1,-77.12262881673905,-11.98071564128536,Callao,Callao,PER,buffer
91073769,-77.75951310516443,-10.800583775328608,Puerto Supe,Lima,PER,buffer
910739e3,-77.74234687282478,-10.810970646776918,Puerto Supe,Lima,PER,buffer
911064d1,-76.2623945322442,-13.76600243952672,PISCO,Ica,PER,buffer
91106531,-76.2623945322442,-13.743351640611277,PISCO,Ica,PER,buffer
913fecc3,-73.71542149279826,-16.250362310118565,La Punta,Arequipa,PER,buffer
914455f7,-71.19535089660285,-17.792443131517917,ILO,Moquegua,PER,buffer
91445b11,-71.34977821061807,-17.642795039140783,Ilo,Moquegua,PER,provided_points
91445b41,-71.36165460299235,-17.632584327713378,Ilo,Moquegua,PER,provided_points
91ab8015,-78.63703671288378,-9.03178050943553,Coishco,Ancash,PER,buffer
91ab8231,-78.62001290692866,-9.11282684819015,Chimbote,Ancash,PER,buffer
91ac8071,-78.66540329587988,-8.983750583695958,Puerto de Santa,Ancash,PER,buffer
91ad1911,-78.95993470456514,-8.21365285622231,Salaverry,La Libertad,PER,buffer
91ad2201,-79.0221256807019,-8.242283742837284,SALAVERRY,La Libertad,PER,buffer
903393ad,-80.40204795375159,-3.488856723389707,Puerto Pizarro,Tumbes,PER,buffer
9033f737,-80.60771320629875,-3.6208626841479528,Caleta Cruz,Tumbes,PER,buffer
9033f841,-80.65766233139588,-3.6714476672688106,ZORRITOS,Tumbes,PER,buffer
9033f88b,-80.67985213635151,-3.676690322562704,Zorritos,Tumbes,PER,provided_points
903645b7,-81.30417998891726,-4.568891541332023,TALARA,Piura,PER,provided_points
903645cf,-81.30417998891726,-4.579102799965211,TALARA,Piura,PER,buffer
903692a5,-81.1499406332156,-4.175516273470993,Los Organos,Piura,PER,buffer
9036a39d,-80.9401267672006,-3.95084914170612,Cancas,Tumbes,PER,buffer
904964df,-80.9401267672006,-5.843890823601321,DPA Galileo,Piura,PER,buffer
9049e109,-81.10581588114546,-5.043071018871646,Paita,Piura,PER,buffer
91043313,-77.22614516322724,-12.02467029195632,Callao,Callao,PER,provided_points
9105ba5b,-76.97870757451857,-12.25383650495225,CONCHAN,Lima,PER,buffer
9105bb9b,-76.93261668609269,-12.251621892153878,CONCHAN,Lima,PER,buffer
9105bbb1,-76.955664304253,-12.247126757511644,CONCHAN,Lima,PER,buffer
9105cb83,-77.14564023377827,-12.054514319792995,Callao,Callao,PER,provided_points
9105cc89,-77.15139239485933,-12.032397625276483,Callao,Callao,PER,provided_points
9105cd31,-77.1858995253864,-11.989239461867873,Callao,Callao,PER,provided_points
9105cd5b,-77.1801490325828,-11.966600901060648,Callao,Callao,PER,buffer
9105d273,-77.12838208656159,-11.947433488585228,Callao,Callao,PER,buffer
9115dc21,-74.87118073229078,-15.560265699789438,Puerto de Lomas,Arequipa,PER,buffer
9116897b,-75.2391551873699,-15.231801324661452,San Nicolas,Ica,PER,provided_points
91415b2f,-72.13272731728446,-16.994128334569773,MATARANI,Arequipa,PER,provided_points
91415b35,-72.13865127621506,-16.983287868272864,MATARANI,Arequipa,PER,provided_points
914519f1,-70.89820615976147,-18.006920769178663,Puerto Grau,Tacna,PER,buffer
91ab8123,-78.58595663922803,-9.062802394844564,Chimbote,Ancash,PER,buffer
91ab835d,-78.57460199010757,-9.165818523602717,Chimbote,Ancash,PER,buffer
91ab8367,-78.57460199010757,-9.160374445625902,Chimbote,Ancash,PER,buffer
91ab840b,-78.56324606322335,-9.11647618313025,Chimbote,Ancash,PER,buffer
