s2cell_id,lat,lon,geom_point,n_vessel,label,sublabel
3777961483917328384,22.61327321,120.2723532,POINT(120.272353196135 22.613273210727),3,Qianzhen,TWN
7564389808663953408,-6.742875379,147.0037794,POINT(147.003779381148 -6.74287537881272),12,Lae,PNG
3717639733396897792,14.6387419,120.9509307,POINT(120.950930692417 14.6387419048785),8,Manila,PHL
7547879473341792256,-4.225715146,152.1565506,POINT(152.156550639268 -4.22571514641828),19,Rabaul,PNG
3672581506372468736,6.042848484,125.14433,POINT(125.144329995275 6.04284848391734),10,General Santos,PHL
7547879713859960832,-4.205273779,152.1660149,POINT(152.166014946672 -4.2052737785051),24,Rabaul,PNG
7547876209166647296,-4.270331085,152.1969931,POINT(152.196993145982 -4.27033108458543),5,Rabaul,PNG
3672581334573776896,6.033849517,125.1439818,POINT(125.143981837603 6.0338495171562),4,General Santos,PHL
3717639699037159424,14.63609127,120.9450603,POINT(120.94506030947 14.636091270214),1,Manila,PHL
8009753384405958656,-9.421140518,159.985594,POINT(159.98559404386 -9.42114051756054),2,Honiara,SLB
3672581368933515264,6.024635782,125.1415773,POINT(125.141577330811 6.02463578219611),23,General Santos,PHL
7547876106087432192,-4.2616314,152.1776387,POINT(152.177638690329 -4.2616314000864),4,Rabaul,PNG
7547876037367955456,-4.268557684,152.1866675,POINT(152.186667453448 -4.26855768373954),5,Rabaul,PNG
7564389774304215040,-6.742584412,146.9944232,POINT(146.994423175841 -6.74258441168955),27,Lae,PNG
7547879610780745728,-4.215343368,152.1634862,POINT(152.163486151659 -4.21534336752408),32,Rabaul,PNG
7547878923585978368,-4.253027275,152.18903,POINT(152.189030048472 -4.25302727538512),7,Rabaul,PNG
7564389396347092992,-6.74341008,146.9940575,POINT(146.994057519047 -6.74341007970954),33,Lae,PNG
7547876071727693824,-4.269030945,152.1798797,POINT(152.1798796761 -4.2690309446473),1,Rabaul,PNG
7547879095384670208,-4.239784061,152.1611468,POINT(152.1611467827 -4.23978406102755),10,Rabaul,PNG
8009753350046220288,-9.415348074,159.9863019,POINT(159.986301926189 -9.41534807422904),1,Honiara,SLB
7523014567635451904,-3.556423684,143.6479221,POINT(143.647922105263 -3.55642368421053),2,Wewak,PNG
7547876174806908928,-4.262628755,152.1960432,POINT(152.196043156258 -4.2626287551843),5,Rabaul,PNG
7547878373830164480,-4.207002883,152.172714,POINT(152.172714004426 -4.20700288298032),32,Rabaul,PNG
3777960453125177344,22.57654996,120.3004931,POINT(120.300493071753 22.5765499582526),3,Qianzhen,TWN
7564389361987354624,-6.744217062,147.0010464,POINT(147.001046374737 -6.74421706238689),26,Lae,PNG
3717639080561868800,14.64074326,120.9380446,POINT(120.938044576725 14.6407432550325),6,Manila,PHL
7547878889226240000,-4.253814337,152.1976365,POINT(152.19763652375 -4.25381433737364),2,Rabaul,PNG
3640880868156768256,1.451995455,125.2113023,POINT(125.211302272727 1.45199545454545),1,Bitung,IDN
7547878476909379584,-4.214199846,152.1736688,POINT(152.173668849819 -4.21419984570355),35,Rabaul,PNG
7547878511269117952,-4.222154538,152.1708587,POINT(152.170858651631 -4.22215453776332),19,Rabaul,PNG
8009753418765697024,-9.422671164,159.9916786,POINT(159.991678595045 -9.42267116443344),1,Honiara,SLB
3672586316735840256,5.9827,125.106,POINT(125.106 5.9827),1,General Santos,PHL
3672587313168252928,6.022110598,125.1413733,POINT(125.141373330433 6.02211059828756),20,General Santos,PHL
3717639527238467584,14.6374,120.9396,POINT(120.9396 14.6374),1,Manila,PHL
7523014533275713536,-3.568660377,143.6479368,POINT(143.647936792453 -3.56866037735849),2,Wewak,PNG
7547879026665193472,-4.253445189,152.1765333,POINT(152.176533277077 -4.25344518852532),6,Rabaul,PNG
7547878339470426112,-4.201198503,152.1691441,POINT(152.169144120354 -4.20119850329163),36,Rabaul,PNG
3672587244448776192,6.005895357,125.1325291,POINT(125.132529093561 6.00589535722802),15,General Santos,PHL
