s2id,latitude,longitude,label,sublabel,iso3
915aa997,-18.47222222222222,-70.31611111111111,CALETA ARICA,,CHL
91500745,-18.51944444444444,-70.31861111111111,CALETA QUIANE,,CHL
91502d3d,-19.20611111111111,-70.27083333333333,CALETA CAMARONES,,CHL
915216b3,-20.200958333333332,-70.1452388888889,BAHÍA EL COLORADO,,CHL
96a53bc9,-24.798194444444444,-70.18627777777778,CÁÑAMO,,CHL
91526265,-20.6605,-70.18297222222223,CARAMUCHO,,CHL
9152922d,-20.894416666666665,-70.13680555555557,CHANAVAYA,,CHL
915289b3,-20.706222222222223,-70.19319444444444,CHANAVAYITA,,CHL
9152b5eb,-21.321527777777774,-70.07094444444444,CHIPANA,,CHL
91526ec1,-20.42286111111111,-70.16472222222222,LOS VERDES,,CHL
915213f5,-20.234383333333337,-70.15104166666667,MUELLE CALETA CAVANCHA,,CHL
91521151,-20.204366666666665,-70.15313055555556,MUELLE CALETA RIQUELME,,CHL
91526c9b,-20.33811111111111,-70.15394444444445,PLAYA BLANCA,,CHL
91521145,-20.204366666666665,-70.1591138888889,PUERTO IQUIQUE,,CHL
91529663,-20.996,-70.16247222222223,RÍO SECO,,CHL
9152bec7,-21.108583333333335,-70.12049999999999,SAN MARCOS,,CHL
96ad8ded,-22.438980555555556,-70.25659722222223,CALETA BUENA,,CHL
96adf2f5,-22.550722222222223,-70.26761111111111,CALETA COBIJA,,CHL
96ad485d,-21.55281388888889,-70.08886388888888,CALETA HUACHÁN,,CHL
96ad8fdd,-22.34975,-70.251,CALETA INDÍGENA,,CHL
96ad6ef3,-21.89685555555555,-70.17318611111112,CALETA PAQUICA,,CHL
96ad421d,-21.749691666666667,-70.15127222222223,CALETA URCU,,CHL
96adf1c7,-22.632080555555557,-70.26346944444444,EL FIERRO,,CHL
96ad77a9,-22.092616666666665,-70.20440833333333,MUELLE TOCOPILLA,,CHL
96ad4685,-21.633691666666667,-70.13751388888889,PUNTA ARENAS,,CHL
96ad852b,-22.281527777777775,-70.24247222222222,PUNTA ATALA,,CHL
96adfbbd,-22.760791666666663,-70.30416388888888,CALETA GUALAGUALA,,CHL
96ae0705,-22.918772222222223,-70.29653611111111,CALETA HORNITOS,,CHL
96adfaf5,-22.72108611111111,-70.284275,CALETA MICHILLA,,CHL
96ae1d59,-23.093152777777775,-70.42601388888889,CORPESCA MEJILLONES,,CHL
96b1e2b9,-23.098374999999997,-70.45055555555555,MUELLE MEJILLONES,,CHL
96b1d12d,-23.5132,-70.53147777777778,CALETA ABTAO (JUAN LÓPEZ),,CHL
96afd53d,-23.64101944444445,-70.39830555555557,CALETA ANTOFAGASTA,,CHL
96baa9df,-24.37405,-70.55044722222222,CALETA BLANCO ENCALADA,,CHL
96b02669,-23.852341666666668,-70.50836944444444,CALETA BOLFIN,,CHL
96baaef1,-24.503511111111113,-70.56098055555556,CALETA BOTIJA,,CHL
96b029b1,-23.75963888888889,-70.46326111111111,CALETA COLOSO,,CHL
96b1db19,-23.412197222222225,-70.59426388888889,CALETA CONSTITUCIÓN,,CHL
96ae2a41,-23.555683333333334,-70.40571666666668,CALETA LA CHIMBA,,CHL
96b00477,-24.245722222222224,-70.5270861111111,EL COBRE,,CHL
96afd515,-23.648169444444445,-70.40464444444444,PUERTO ANTOFAGASTA,,CHL
96bb4537,-25.65216388888889,-70.64630277777779,CALETA CIFUNCHO,,CHL
96bad485,-25.008758333333333,-70.46877222222223,CALETA PAPOSO,,CHL
96bca71f,-25.888716666666667,-70.69040555555556,HUANILLO,,CHL
96bab12d,-24.645919444444445,-70.5625,LA COLORADA,,CHL
96bb344d,-25.40771111111111,-70.49178055555555,MUELLE TALTAL,,CHL
96bab7cb,-24.72053888888889,-70.57879444444444,PUNTA PLATA,,CHL
96bcc56f,-26.35450555555556,-70.63361944444445,CALETA CHAÑARAL ,,CHL
96bcc649,-26.259541666666667,-70.64860833333334,EL REFUGIO,,CHL
96bd2761,-26.575675,-70.68858888888889,FLAMENCO,,CHL
96bd2739,-26.60484166666667,-70.70410277777778,TOREES DEL INCA,,CHL
96bcdbc3,-26.471330555555554,-70.68921666666667,LOS MEDANOS,,CHL
96bcd967,-26.490291666666668,-70.69101111111111,LOS TOYOS,,CHL
96bcb9a3,-26.140888888888888,-70.66243055555556,PAN DE AZÚCAR,,CHL
96bcd93b,-26.5159,-70.70471388888889,PORTO FINO,,CHL
9697c6d9,-27.642722222222226,-70.91950277777778,BAHÍA SALADA,,CHL
9697c34d,-27.51225833333333,-70.8947,BARRANQUILLA,,CHL
96bd69e7,-27.064469444444445,-70.82219722222221,CALDERA,,CHL
9697c80d,-27.686805555555555,-71.01046388888889,CHASCO,,CHL
9697d96b,-27.402827777777777,-70.93218333333334,CUEVA DE PEREZ,,CHL
96bd637d,-27.248230555555555,-70.96117222222223,EL CISNE,,CHL
96bd3d13,-26.799597222222225,-70.78435,EL MORADO,,CHL
96bd6f0f,-27.124808333333338,-70.94378888888889,EL MORRO,,CHL
96bd2137,-26.644155555555557,-70.72414444444445,LAS LISAS,,CHL
9697d911,-27.39136111111111,-70.94178611111111,LOZAS AMARILLAS,,CHL
9697c135,-27.627044444444444,-70.90645,MALDONADO,,CHL
96bd2335,-26.762516666666667,-70.74609722222222,OBISPITO,,CHL
9697b7b7,-27.733697222222226,-71.04092222222222,PAJONALES,,CHL
9697d89d,-27.33492222222222,-70.94140555555556,PUERTO VIEJO,,CHL
96bd15e5,-26.87425,-70.82434444444443,PUNTA CABEZA DE VACA,,CHL
96bd41db,-27.01043611111111,-70.8049861111111,RAMADA,,CHL
96bd4007,-26.954380555555556,-70.80084166666667,SANTUARIO DE LA NATURALEZA,,CHL
96bd3df9,-26.85336388888889,-70.81036388888889,ZENTENO,,CHL
9697b167,-27.830158333333333,-71.0913361111111,TOTORAL,,CHL
9697ac5b,-27.964655555555556,-71.13772222222222,LA SAL,,CHL
9697b207,-27.895119444444443,-71.10779444444444,LAS GAVIOTAS,,CHL
9697adf1,-27.907891666666664,-71.11369166666667,LOS BURROS,,CHL
9696ccab,-28.850161111111113,-71.47656388888889,BASCUÑAN,,CHL
96913421,-28.942319444444443,-71.50622777777778,CALETA AGUA DE LA ZORRA,,CHL
96913bfb,-29.114225,-71.4675,CALETA CARRIZALILLO O MAMANI,,CHL
9691399d,-29.07774722222222,-71.49113888888888,CALETA CHAÑARAL DE ACEITUNO,,CHL
9696d11f,-28.698141666666668,-71.31510833333333,CALETA LA PEÑA,,CHL
9696d9ff,-28.643277777777776,-71.28418333333333,CALETA LOS BRONCES,,CHL
9691344f,-28.91498888888889,-71.51454166666667,CALETA LOS BURROS SUR,,CHL
9696cd1f,-28.818991666666665,-71.42664722222223,ENSUEÑO - SARCO,,CHL
9696d1f5,-28.744525,-71.36172499999999,LA CHÉPICA,,CHL
969134f3,-28.895675,-71.50514722222222,LA REINA,,CHL
9691398b,-29.055369444444445,-71.47895555555556,LA TIFUCA,,CHL
969136f1,-28.98128611111111,-71.51809166666666,LAS TETILLAS,,CHL
96971d67,-28.298625,-71.185675,CALETA  PUNTA LOBOS,,CHL
969702b7,-28.260625,-71.17098611111112,CALETA ANGOSTA,,CHL
9696dfd9,-28.460638888888887,-71.22442777777778,CALETA HUASCO,,CHL
9697aa87,-28.079894444444445,-71.14876666666667,CARRIZAL BAJO,,CHL
9697ac7d,-27.989275,-71.14271944444445,CORRALES NORTE,,CHL
9696d953,-28.5565,-71.28063888888889,LOS LACHOS,,CHL
